id,time,dayPower,capacity
75,2017-01-01 22,0,100
75,2017-01-02 22,0,100
75,2017-01-03 22,0,100
75,2017-01-04 22,0,100
75,2017-01-05 22,0,100
75,2017-01-06 22,0,100
75,2017-01-07 22,0,100
75,2017-01-08 22,0,100
75,2017-01-09 22,0,100
75,2017-01-10 22,4,100
75,2017-01-11 22,263,100
75,2017-01-12 22,235,100
75,2017-01-13 22,409,100
75,2017-01-14 22,415,100
75,2017-01-15 22,-1,100
75,2017-01-16 22,-1,100
75,2017-01-17 22,-1,100
75,2017-01-18 22,-1,100
75,2017-01-19 22,-1,100
75,2017-01-20 22,-1,100
75,2017-01-21 22,-1,100
75,2017-01-22 22,395,100
75,2017-01-23 22,339,100
75,2017-01-24 22,298,100
75,2017-01-25 22,334,100
75,2017-01-26 22,-1,100
75,2017-01-27 22,370,100
75,2017-01-28 22,-1,100
75,2017-01-29 22,-1,100
75,2017-01-30 22,-1,100
75,2017-01-31 22,-1,100
75,2017-02-01 22,-1,100
75,2017-02-02 22,-1,100
75,2017-02-03 22,113,100
75,2017-02-04 22,159,100
75,2017-02-05 22,406,100
75,2017-02-06 22,237,100
75,2017-02-07 22,84,100
75,2017-02-08 22,202,100
75,2017-02-09 22,541,100
75,2017-02-10 22,538,100
75,2017-02-11 22,489,100
75,2017-02-12 22,450,100
75,2017-02-13 22,410,100
75,2017-02-14 22,238,100
75,2017-02-15 22,408,100
75,2017-02-16 22,346,100
75,2017-02-17 22,340,100
75,2017-02-18 22,445,100
75,2017-02-19 22,291,100
75,2017-02-20 22,509,100
75,2017-02-21 22,57,100
75,2017-02-22 22,152,100
75,2017-02-23 22,575,100
75,2017-02-24 22,525,100
75,2017-02-25 22,504,100
75,2017-02-26 22,454,100
75,2017-02-27 22,496,100
75,2017-02-28 22,283,100
75,2017-03-01 22,273,100
75,2017-03-02 22,583,100
75,2017-03-03 22,533,100
75,2017-03-04 22,364,100
75,2017-03-05 22,403,100
75,2017-03-06 22,545,100
75,2017-03-07 22,602,100
75,2017-03-08 22,595,100
75,2017-03-09 22,568,100
75,2017-03-10 22,499,100
75,2017-03-11 22,375,100
75,2017-03-12 22,-1,100
75,2017-03-13 22,253,100
75,2017-03-14 22,571,100
75,2017-03-15 22,410,100
75,2017-03-16 22,426,100
75,2017-03-17 22,428,100
75,2017-03-18 22,476,100
75,2017-03-19 22,464,100
75,2017-03-20 22,-1,100
75,2017-03-21 22,-1,100
75,2017-03-22 22,250,100
75,2017-03-23 22,197,100
75,2017-03-24 22,241,100
75,2017-03-25 22,487,100
75,2017-03-26 22,570,100
75,2017-03-27 22,590,100
75,2017-03-28 22,-1,100
75,2017-03-29 22,-1,100
75,2017-03-30 22,155,100
75,2017-03-31 22,560,100
75,2017-04-01 22,611,100
75,2017-04-02 22,570,100
75,2017-04-03 22,409,100
75,2017-04-04 22,81,100
75,2017-04-05 22,186,100
75,2017-04-06 22,515,100
75,2017-04-07 22,295,100
75,2017-04-08 22,-1,100
75,2017-04-09 22,-1,100
75,2017-04-10 22,251,100
75,2017-04-11 22,504,100
75,2017-04-12 22,570,100
75,2017-04-13 22,344,100
75,2017-04-14 22,407,100
75,2017-04-15 22,351,100
75,2017-04-16 22,-1,100
75,2017-04-17 22,-1,100
75,2017-04-18 22,649,100
75,2017-04-19 22,146,100
75,2017-04-20 22,530,100
75,2017-04-21 22,484,100
75,2017-04-22 22,617,100
75,2017-04-23 22,589,100
75,2017-04-24 22,405,100
75,2017-04-25 22,190,100
75,2017-04-26 22,580,100
75,2017-04-27 22,608,100
75,2017-04-28 22,578,100
75,2017-04-29 22,564,100
75,2017-04-30 22,508,100
75,2017-05-01 22,462,100
75,2017-05-02 22,503,100
75,2017-05-03 22,-1,100
75,2017-05-04 22,-1,100
75,2017-05-05 22,472,100
75,2017-05-06 22,600,100
75,2017-05-07 22,553,100
75,2017-05-08 22,162,100
75,2017-05-09 22,602,100
75,2017-05-10 22,548,100
75,2017-05-11 22,410,100
75,2017-05-12 22,585,100
75,2017-05-13 22,604,100
75,2017-05-14 22,512,100
75,2017-05-15 22,365,100
75,2017-05-16 22,587,100
75,2017-05-17 22,572,100
75,2017-05-18 22,549,100
75,2017-05-19 22,451,100
75,2017-05-20 22,485,100
75,2017-05-21 22,436,100
75,2017-05-22 22,495,100
75,2017-05-23 22,474,100
75,2017-05-24 22,622,100
75,2017-05-25 22,607,100
75,2017-05-26 22,582,100
75,2017-05-27 22,570,100
75,2017-05-28 22,555,100
75,2017-05-29 22,-1,100
75,2017-05-30 22,511,100
75,2017-05-31 22,543,100
75,2017-06-01 22,548,100
75,2017-06-02 22,507,100
75,2017-06-03 22,527,100
75,2017-06-04 22,499,100
75,2017-06-05 22,178,100
75,2017-06-06 22,119,100
75,2017-06-07 22,579,100
