id,time,dayPower,capacity
44,2017-01-01 22,122,50
44,2017-01-02 22,100,50
44,2017-01-03 22,132,50
44,2017-01-04 22,20,50
44,2017-01-05 22,4,50
44,2017-01-06 22,0,50
44,2017-01-07 22,1,50
44,2017-01-08 22,59,50
44,2017-01-09 22,135,50
44,2017-01-10 22,199,50
44,2017-01-11 22,148,50
44,2017-01-12 22,121,50
44,2017-01-13 22,201,50
44,2017-01-14 22,220,50
44,2017-01-15 22,134,50
44,2017-01-16 22,107,50
44,2017-01-17 22,88,50
44,2017-01-18 22,86,50
44,2017-01-19 22,120,50
44,2017-01-20 22,248,50
44,2017-01-21 22,210,50
44,2017-01-22 22,226,50
44,2017-01-23 22,156,50
44,2017-01-24 22,127,50
44,2017-01-25 22,169,50
44,2017-01-26 22,105,50
44,2017-01-27 22,208,50
44,2017-01-28 22,6,50
44,2017-01-29 22,59,50
44,2017-01-30 22,254,50
44,2017-01-31 22,136,50
44,2017-02-01 22,250,50
44,2017-02-02 22,201,50
44,2017-02-03 22,134,50
44,2017-02-04 22,33,50
44,2017-02-05 22,179,50
44,2017-02-06 22,147,50
44,2017-02-07 22,-1,50
44,2017-02-08 22,122,50
44,2017-02-09 22,290,50
44,2017-02-10 22,285,50
44,2017-02-11 22,-1,50
44,2017-02-12 22,237,50
44,2017-02-13 22,196,50
44,2017-02-14 22,136,50
44,2017-02-15 22,221,50
44,2017-02-16 22,152,50
44,2017-02-17 22,201,50
44,2017-02-18 22,239,50
44,2017-02-19 22,117,50
44,2017-02-20 22,244,50
44,2017-02-21 22,36,50
44,2017-02-22 22,62,50
44,2017-02-23 22,303,50
44,2017-02-24 22,285,50
44,2017-02-25 22,276,50
44,2017-02-26 22,-1,50
44,2017-02-27 22,250,50
44,2017-02-28 22,196,50
44,2017-03-01 22,108,50
44,2017-03-02 22,304,50
44,2017-03-03 22,276,50
44,2017-03-04 22,217,50
44,2017-03-05 22,237,50
44,2017-03-06 22,273,50
44,2017-03-07 22,314,50
44,2017-03-08 22,302,50
44,2017-03-09 22,293,50
44,2017-03-10 22,278,50
44,2017-03-11 22,163,50
44,2017-03-12 22,239,50
44,2017-03-13 22,180,50
44,2017-03-14 22,288,50
44,2017-03-15 22,241,50
44,2017-03-16 22,246,50
44,2017-03-17 22,179,50
44,2017-03-18 22,211,50
44,2017-03-19 22,233,50
44,2017-03-20 22,105,50
44,2017-03-21 22,236,50
44,2017-03-22 22,109,50
44,2017-03-23 22,94,50
44,2017-03-24 22,76,50
44,2017-03-25 22,-1,50
44,2017-03-26 22,-1,50
44,2017-03-27 22,-1,50
44,2017-03-28 22,97,50
44,2017-03-29 22,306,50
44,2017-03-30 22,107,50
44,2017-03-31 22,253,50
44,2017-04-01 22,316,50
44,2017-04-02 22,295,50
44,2017-04-03 22,256,50
44,2017-04-04 22,-1,50
44,2017-04-05 22,-1,50
44,2017-04-06 22,293,50
44,2017-04-07 22,206,50
44,2017-04-08 22,-1,50
44,2017-04-09 22,-1,50
44,2017-04-10 22,167,50
44,2017-04-11 22,267,50
44,2017-04-12 22,316,50
44,2017-04-13 22,-1,50
44,2017-04-14 22,-1,50
44,2017-04-15 22,237,50
44,2017-04-16 22,41,50
44,2017-04-17 22,295,50
44,2017-04-18 22,344,50
44,2017-04-19 22,76,50
44,2017-04-20 22,305,50
44,2017-04-21 22,260,50
44,2017-04-22 22,332,50
44,2017-04-23 22,305,50
44,2017-04-24 22,-1,50
44,2017-04-25 22,-1,50
44,2017-04-26 22,285,50
44,2017-04-27 22,331,50
44,2017-04-28 22,311,50
44,2017-04-29 22,310,50
44,2017-04-30 22,261,50
44,2017-05-01 22,220,50
44,2017-05-02 22,-1,50
44,2017-05-03 22,190,50
44,2017-05-04 22,234,50
44,2017-05-05 22,267,50
44,2017-05-06 22,333,50
44,2017-05-07 22,280,50
44,2017-05-08 22,143,50
44,2017-05-09 22,304,50
44,2017-05-10 22,278,50
44,2017-05-11 22,238,50
44,2017-05-12 22,306,50
44,2017-05-13 22,323,50
44,2017-05-14 22,289,50
44,2017-05-15 22,232,50
44,2017-05-16 22,314,50
44,2017-05-17 22,300,50
44,2017-05-18 22,295,50
44,2017-05-19 22,250,50
44,2017-05-20 22,273,50
44,2017-05-21 22,259,50
44,2017-05-22 22,220,50
44,2017-05-23 22,251,50
44,2017-05-24 22,328,50
44,2017-05-25 22,325,50
44,2017-05-26 22,314,50
44,2017-05-27 22,302,50
44,2017-05-28 22,295,50
44,2017-05-29 22,253,50
44,2017-05-30 22,259,50
44,2017-05-31 22,284,50
44,2017-06-01 22,292,50
44,2017-06-02 22,213,50
44,2017-06-03 22,309,50
44,2017-06-04 22,266,50
44,2017-06-05 22,142,50
44,2017-06-06 22,75,50
44,2017-06-07 22,295,50
44,2017-06-08 22,279,50
44,2017-06-09 22,268,50
44,2017-06-10 22,148,50
44,2017-06-11 22,207,50
44,2017-06-12 22,179,50
44,2017-06-13 22,206,50
44,2017-06-14 22,279,50
44,2017-06-15 22,262,50
44,2017-06-16 22,-1,50
44,2017-06-17 22,276,50
44,2017-06-18 22,271,50
44,2017-06-19 22,243,50
44,2017-06-20 22,222,50
44,2017-06-21 22,239,50
44,2017-06-22 22,37,50
44,2017-06-23 22,130,50
44,2017-06-24 22,221,50
44,2017-06-25 22,273,50
44,2017-06-26 22,246,50
44,2017-06-27 22,256,50
44,2017-06-28 22,255,50
44,2017-06-29 22,240,50
44,2017-06-30 22,224,50
44,2017-07-01 22,233,50
44,2017-07-02 22,215,50
44,2017-07-03 22,234,50
44,2017-07-04 22,137,50
44,2017-07-05 22,136,50
44,2017-07-06 22,105,50
44,2017-07-07 22,239,50
44,2017-07-08 22,298,50
44,2017-07-09 22,166,50
44,2017-07-10 22,298,50
44,2017-07-11 22,291,50
44,2017-07-12 22,285,50
44,2017-07-13 22,270,50
44,2017-07-14 22,218,50
44,2017-07-15 22,93,50
44,2017-07-16 22,133,50
44,2017-07-17 22,204,50
44,2017-07-18 22,64,50
44,2017-07-19 22,181,50
44,2017-07-20 22,-1,50
44,2017-07-21 22,157,50
44,2017-07-22 22,115,50
44,2017-07-23 22,233,50
44,2017-07-24 22,107,50
44,2017-07-25 22,229,50
44,2017-07-26 22,143,50
44,2017-07-27 22,61,50
44,2017-07-28 22,89,50
44,2017-07-29 22,51,50
44,2017-07-30 22,80,50
44,2017-07-31 22,178,50
44,2017-08-01 22,164,50
44,2017-08-02 22,58,50
44,2017-08-03 22,256,50
44,2017-08-04 22,292,50
44,2017-08-05 22,260,50
44,2017-08-06 22,261,50
44,2017-08-07 22,213,50
44,2017-08-08 22,290,50
44,2017-08-09 22,244,50
44,2017-08-10 22,280,50
44,2017-08-11 22,262,50
44,2017-08-12 22,171,50
44,2017-08-13 22,184,50
44,2017-08-14 22,167,50
44,2017-08-15 22,255,50
44,2017-08-16 22,241,50
44,2017-08-17 22,235,50
44,2017-08-18 22,120,50
44,2017-08-19 22,187,50
44,2017-08-20 22,234,50
44,2017-08-21 22,269,50
44,2017-08-22 22,182,50
44,2017-08-23 22,93,50
44,2017-08-24 22,270,50
44,2017-08-25 22,138,50
44,2017-08-26 22,112,50
44,2017-08-27 22,130,50
44,2017-08-28 22,40,50
44,2017-08-29 22,85,50
44,2017-08-30 22,250,50
44,2017-08-31 22,279,50
44,2017-09-01 22,233,50
44,2017-09-02 22,219,50
44,2017-09-03 22,176,50
44,2017-09-04 22,-1,50
44,2017-09-05 22,161,50
44,2017-09-06 22,192,50
44,2017-09-07 22,292,50
44,2017-09-08 22,256,50
44,2017-09-09 22,239,50
44,2017-09-10 22,75,50
44,2017-09-11 22,267,50
44,2017-09-12 22,278,50
44,2017-09-13 22,257,50
44,2017-09-14 22,251,50
44,2017-09-15 22,216,50
44,2017-09-16 22,128,50
44,2017-09-17 22,251,50
44,2017-09-18 22,223,50
44,2017-09-19 22,231,50
44,2017-09-20 22,270,50
44,2017-09-21 22,235,50
44,2017-09-22 22,256,50
44,2017-09-23 22,234,50
44,2017-09-24 22,215,50
44,2017-09-25 22,174,50
44,2017-09-26 22,92,50
44,2017-09-27 22,146,50
44,2017-09-28 22,282,50
44,2017-09-29 22,-1,50
44,2017-09-30 22,238,50
44,2017-10-01 22,114,50
44,2017-10-02 22,150,50
44,2017-10-03 22,56,50
44,2017-10-04 22,145,50
44,2017-10-05 22,235,50
