id,time,dayPower,capacity
42,2017-01-01 22,120,50
42,2017-01-02 22,111,50
42,2017-01-03 22,124,50
42,2017-01-04 22,21,50
42,2017-01-05 22,12,50
42,2017-01-06 22,34,50
42,2017-01-07 22,31,50
42,2017-01-08 22,64,50
42,2017-01-09 22,154,50
42,2017-01-10 22,187,50
42,2017-01-11 22,144,50
42,2017-01-12 22,34,50
42,2017-01-13 22,85,50
42,2017-01-14 22,213,50
42,2017-01-15 22,128,50
42,2017-01-16 22,102,50
42,2017-01-17 22,-1,50
42,2017-01-18 22,85,50
42,2017-01-19 22,97,50
42,2017-01-20 22,224,50
42,2017-01-21 22,194,50
42,2017-01-22 22,211,50
42,2017-01-23 22,147,50
42,2017-01-24 22,116,50
42,2017-01-25 22,156,50
42,2017-01-26 22,100,50
42,2017-01-27 22,186,50
42,2017-01-28 22,7,50
42,2017-01-29 22,68,50
42,2017-01-30 22,241,50
42,2017-01-31 22,134,50
42,2017-02-01 22,235,50
42,2017-02-02 22,198,50
42,2017-02-03 22,154,50
42,2017-02-04 22,32,50
42,2017-02-05 22,188,50
42,2017-02-06 22,142,50
42,2017-02-07 22,67,50
42,2017-02-08 22,122,50
42,2017-02-09 22,269,50
42,2017-02-10 22,265,50
42,2017-02-11 22,226,50
42,2017-02-12 22,222,50
42,2017-02-13 22,182,50
42,2017-02-14 22,119,50
42,2017-02-15 22,209,50
42,2017-02-16 22,144,50
42,2017-02-17 22,199,50
42,2017-02-18 22,221,50
42,2017-02-19 22,101,50
42,2017-02-20 22,218,50
42,2017-02-21 22,33,50
42,2017-02-22 22,70,50
42,2017-02-23 22,289,50
42,2017-02-24 22,269,50
42,2017-02-25 22,265,50
42,2017-02-26 22,236,50
42,2017-02-27 22,234,50
42,2017-02-28 22,191,50
42,2017-03-01 22,110,50
42,2017-03-02 22,280,50
42,2017-03-03 22,255,50
42,2017-03-04 22,206,50
42,2017-03-05 22,230,50
42,2017-03-06 22,252,50
42,2017-03-07 22,289,50
42,2017-03-08 22,277,50
42,2017-03-09 22,269,50
42,2017-03-10 22,253,50
42,2017-03-11 22,148,50
42,2017-03-12 22,230,50
42,2017-03-13 22,181,50
42,2017-03-14 22,261,50
42,2017-03-15 22,-1,50
42,2017-03-16 22,-1,50
42,2017-03-17 22,-1,50
42,2017-03-18 22,-1,50
42,2017-03-19 22,208,50
42,2017-03-20 22,101,50
42,2017-03-21 22,219,50
42,2017-03-22 22,103,50
42,2017-03-23 22,87,50
42,2017-03-24 22,80,50
42,2017-03-25 22,188,50
42,2017-03-26 22,259,50
42,2017-03-27 22,305,50
42,2017-03-28 22,-1,50
42,2017-03-29 22,-1,50
42,2017-03-30 22,108,50
42,2017-03-31 22,239,50
42,2017-04-01 22,302,50
42,2017-04-02 22,281,50
42,2017-04-03 22,255,50
42,2017-04-04 22,68,50
42,2017-04-05 22,111,50
42,2017-04-06 22,288,50
42,2017-04-07 22,201,50
42,2017-04-08 22,-1,50
42,2017-04-09 22,-1,50
42,2017-04-10 22,164,50
42,2017-04-11 22,258,50
42,2017-04-12 22,296,50
42,2017-04-13 22,186,50
42,2017-04-14 22,218,50
42,2017-04-15 22,231,50
42,2017-04-16 22,44,50
42,2017-04-17 22,281,50
42,2017-04-18 22,326,50
42,2017-04-19 22,69,50
42,2017-04-20 22,304,50
42,2017-04-21 22,233,50
42,2017-04-22 22,-1,50
42,2017-04-23 22,-1,50
42,2017-04-24 22,-1,50
42,2017-04-25 22,-1,50
42,2017-04-26 22,277,50
42,2017-04-27 22,307,50
42,2017-04-28 22,292,50
42,2017-04-29 22,285,50
42,2017-04-30 22,-1,50
42,2017-05-01 22,-1,50
42,2017-05-02 22,264,50
42,2017-05-03 22,172,50
42,2017-05-04 22,218,50
42,2017-05-05 22,254,50
42,2017-05-06 22,312,50
42,2017-05-07 22,253,50
42,2017-05-08 22,151,50
42,2017-05-09 22,280,50
42,2017-05-10 22,261,50
42,2017-05-11 22,229,50
42,2017-05-12 22,283,50
42,2017-05-13 22,295,50
42,2017-05-14 22,255,50
42,2017-05-15 22,226,50
42,2017-05-16 22,283,50
42,2017-05-17 22,-1,50
42,2017-05-18 22,258,50
42,2017-05-19 22,215,50
42,2017-05-20 22,-1,50
42,2017-05-21 22,-1,50
42,2017-05-22 22,169,50
42,2017-05-23 22,-1,50
42,2017-05-24 22,-1,50
42,2017-05-25 22,279,50
42,2017-05-26 22,266,50
42,2017-05-27 22,256,50
42,2017-05-28 22,-1,50
42,2017-05-29 22,211,50
42,2017-05-30 22,214,50
42,2017-05-31 22,242,50
42,2017-06-01 22,247,50
42,2017-06-02 22,192,50
42,2017-06-03 22,-1,50
42,2017-06-04 22,-1,50
42,2017-06-05 22,-1,50
42,2017-06-06 22,-1,50
42,2017-06-07 22,250,50
42,2017-06-08 22,233,50
42,2017-06-09 22,222,50
42,2017-06-10 22,147,50
42,2017-06-11 22,172,50
42,2017-06-12 22,138,50
42,2017-06-13 22,158,50
42,2017-06-14 22,234,50
42,2017-06-15 22,211,50
42,2017-06-16 22,222,50
42,2017-06-17 22,228,50
42,2017-06-18 22,227,50
42,2017-06-19 22,207,50
42,2017-06-20 22,191,50
42,2017-06-21 22,202,50
42,2017-06-22 22,33,50
42,2017-06-23 22,101,50
42,2017-06-24 22,135,50
42,2017-06-25 22,195,50
42,2017-06-26 22,193,50
42,2017-06-27 22,194,50
42,2017-06-28 22,182,50
42,2017-06-29 22,165,50
42,2017-06-30 22,118,50
42,2017-07-01 22,163,50
42,2017-07-02 22,126,50
42,2017-07-03 22,159,50
42,2017-07-04 22,103,50
42,2017-07-05 22,77,50
42,2017-07-06 22,65,50
42,2017-07-07 22,-1,50
42,2017-07-08 22,-1,50
42,2017-07-09 22,-1,50
42,2017-07-10 22,193,50
42,2017-07-11 22,189,50
42,2017-07-12 22,-1,50
42,2017-07-13 22,-1,50
42,2017-07-14 22,148,50
42,2017-07-15 22,59,50
42,2017-07-16 22,90,50
42,2017-07-17 22,122,50
42,2017-07-18 22,39,50
42,2017-07-19 22,-1,50
42,2017-07-20 22,-1,50
42,2017-07-21 22,133,50
42,2017-07-22 22,106,50
42,2017-07-23 22,202,50
42,2017-07-24 22,100,50
42,2017-07-25 22,221,50
42,2017-07-26 22,130,50
42,2017-07-27 22,44,50
42,2017-07-28 22,77,50
42,2017-07-29 22,56,50
42,2017-07-30 22,89,50
42,2017-07-31 22,151,50
42,2017-08-01 22,142,50
42,2017-08-02 22,-1,50
