id,time,dayPower,capacity
235,2017-01-01,0,50
235,2017-01-02,0,50
235,2017-01-03,0,50
235,2017-01-04,0,50
235,2017-01-05,0,50
235,2017-01-06,0,50
235,2017-01-07,0,50
235,2017-01-08,18,50
235,2017-01-09,140,50
235,2017-01-10,162,50
235,2017-01-11,119,50
235,2017-01-12,99,50
235,2017-01-13,187,50
235,2017-01-14,178,50
235,2017-01-15,99,50
235,2017-01-16,118,50
235,2017-01-17,93,50
235,2017-01-18,80,50
235,2017-01-19,110,50
235,2017-01-20,207,50
235,2017-01-21,175,50
235,2017-01-22,170,50
235,2017-01-23,147,50
235,2017-01-24,128,50
235,2017-01-25,147,50
235,2017-01-26,103,50
235,2017-01-27,160,50
235,2017-01-28,5,50
235,2017-01-29,70,50
235,2017-01-30,216,50
235,2017-01-31,136,50
235,2017-02-01,192,50
235,2017-02-02,171,50
235,2017-02-03,100,50
235,2017-02-04,45,50
235,2017-02-05,193,50
235,2017-02-06,125,50
235,2017-02-07,38,50
235,2017-02-08,95,50
235,2017-02-09,242,50
235,2017-02-10,236,50
235,2017-02-11,210,50
235,2017-02-12,198,50
235,2017-02-13,181,50
235,2017-02-14,92,50
235,2017-02-15,180,50
235,2017-02-16,147,50
235,2017-02-17,160,50
235,2017-02-18,203,50
235,2017-02-19,107,50
235,2017-02-20,226,50
235,2017-02-21,25,50
235,2017-02-22,71,50
235,2017-02-23,269,50
235,2017-02-24,240,50
235,2017-02-25,231,50
235,2017-02-26,186,50
235,2017-02-27,217,50
235,2017-02-28,129,50
235,2017-03-01,119,50
235,2017-03-02,264,50
235,2017-03-03,247,50
235,2017-03-04,182,50
235,2017-03-05,187,50
235,2017-03-06,239,50
235,2017-03-07,-1,50
235,2017-03-08,-1,50
235,2017-03-09,-1,50
235,2017-03-10,248,50
235,2017-03-11,164,50
235,2017-03-12,157,50
235,2017-03-13,121,50
235,2017-03-14,252,50
235,2017-03-15,193,50
235,2017-03-16,218,50
