id,time,dayPower,capacity
184,2017-01-01,126,50
184,2017-01-02,24,50
184,2017-01-03,156,50
184,2017-01-04,24,50
184,2017-01-05,17,50
184,2017-01-06,73,50
184,2017-01-07,18,50
184,2017-01-08,31,50
184,2017-01-09,104,50
184,2017-01-10,184,50
184,2017-01-11,158,50
184,2017-01-12,138,50
184,2017-01-13,222,50
184,2017-01-14,212,50
184,2017-01-15,133,50
184,2017-01-16,114,50
184,2017-01-17,117,50
184,2017-01-18,91,50
184,2017-01-19,95,50
184,2017-01-20,248,50
184,2017-01-21,202,50
184,2017-01-22,221,50
184,2017-01-23,166,50
184,2017-01-24,123,50
184,2017-01-25,171,50
184,2017-01-26,114,50
184,2017-01-27,228,50
184,2017-01-28,8,50
184,2017-01-29,45,50
184,2017-01-30,241,50
184,2017-01-31,163,50
184,2017-02-01,250,50
184,2017-02-02,204,50
184,2017-02-03,119,50
184,2017-02-04,36,50
184,2017-02-05,227,50
184,2017-02-06,160,50
184,2017-02-07,71,50
184,2017-02-08,87,50
184,2017-02-09,285,50
184,2017-02-10,282,50
184,2017-02-11,245,50
184,2017-02-12,239,50
184,2017-02-13,210,50
184,2017-02-14,138,50
184,2017-02-15,202,50
184,2017-02-16,146,50
184,2017-02-17,212,50
184,2017-02-18,232,50
184,2017-02-19,133,50
184,2017-02-20,243,50
184,2017-02-21,41,50
184,2017-02-22,75,50
184,2017-02-23,300,50
184,2017-02-24,273,50
184,2017-02-25,269,50
184,2017-02-26,247,50
184,2017-02-27,242,50
184,2017-02-28,170,50
184,2017-03-01,111,50
184,2017-03-02,302,50
184,2017-03-03,264,50
184,2017-03-04,206,50
184,2017-03-05,223,50
184,2017-03-06,268,50
184,2017-03-07,315,50
184,2017-03-08,300,50
184,2017-03-09,288,50
184,2017-03-10,-1,50
184,2017-03-11,174,50
184,2017-03-12,216,50
184,2017-03-13,168,50
184,2017-03-14,283,50
184,2017-03-15,226,50
184,2017-03-16,255,50
184,2017-03-17,172,50
