id,time,dayPower/capacity,lat,lng
199,2017-01-01,0.46,36.5313,117.39
199,2017-01-02,3.46,36.5313,117.39
199,2017-01-03,0.46,36.5313,117.39
199,2017-01-04,3.18,36.5313,117.39
199,2017-01-05,1.44,36.5313,117.39
199,2017-01-06,1.68,36.5313,117.39
199,2017-01-07,0.26,36.5313,117.39
199,2017-01-08,0.06,36.5313,117.39
199,2017-01-09,1.98,36.5313,117.39
199,2017-01-10,2.6,36.5313,117.39
199,2017-01-11,2.12,36.5313,117.39
199,2017-01-12,2.24,36.5313,117.39
199,2017-01-13,2.94,36.5313,117.39
199,2017-01-14,3.04,36.5313,117.39
199,2017-01-15,1.88,36.5313,117.39
199,2017-01-16,1.44,36.5313,117.39
199,2017-01-17,1.66,36.5313,117.39
199,2017-01-18,1.22,36.5313,117.39
199,2017-01-19,1.52,36.5313,117.39
199,2017-01-20,3.36,36.5313,117.39
199,2017-01-21,2.84,36.5313,117.39
199,2017-01-22,3.08,36.5313,117.39
199,2017-01-23,2.44,36.5313,117.39
199,2017-01-24,2.12,36.5313,117.39
199,2017-01-25,2.52,36.5313,117.39
199,2017-01-26,1.86,36.5313,117.39
199,2017-01-27,2.84,36.5313,117.39
199,2017-01-28,0.14,36.5313,117.39
199,2017-01-29,0.02,36.5313,117.39
199,2017-01-30,2.44,36.5313,117.39
199,2017-01-31,2.34,36.5313,117.39
199,2017-02-01,3.08,36.5313,117.39
199,2017-02-02,2.94,36.5313,117.39
199,2017-02-03,1.8,36.5313,117.39
199,2017-02-04,0.46,36.5313,117.39
199,2017-02-05,3.38,36.5313,117.39
199,2017-02-06,1.94,36.5313,117.39
199,2017-02-07,0.74,36.5313,117.39
199,2017-02-08,1.4,36.5313,117.39
199,2017-02-09,3.84,36.5313,117.39
199,2017-02-10,3.84,36.5313,117.39
199,2017-02-11,3.52,36.5313,117.39
199,2017-02-12,3.34,36.5313,117.39
199,2017-02-13,2.72,36.5313,117.39
199,2017-02-14,1.82,36.5313,117.39
199,2017-02-15,2.78,36.5313,117.39
199,2017-02-16,2.34,36.5313,117.39
199,2017-02-17,2.64,36.5313,117.39
199,2017-02-18,3.22,36.5313,117.39
199,2017-02-19,2.02,36.5313,117.39
199,2017-02-20,3.3,36.5313,117.39
199,2017-02-21,0.42,36.5313,117.39
199,2017-02-22,2.12,36.5313,117.39
199,2017-02-23,3.8,36.5313,117.39
199,2017-02-24,3.68,36.5313,117.39
199,2017-02-25,3.46,36.5313,117.39
199,2017-02-26,3.1,36.5313,117.39
199,2017-02-27,3.26,36.5313,117.39
199,2017-02-28,2.3,36.5313,117.39
199,2017-03-01,0.46,36.5313,117.39
199,2017-03-02,4.0,36.5313,117.39
199,2017-03-03,3.8,36.5313,117.39
199,2017-03-04,3.26,36.5313,117.39
199,2017-03-05,2.42,36.5313,117.39
199,2017-03-06,3.72,36.5313,117.39
199,2017-03-07,4.12,36.5313,117.39
199,2017-03-08,4.1,36.5313,117.39
199,2017-03-09,3.84,36.5313,117.39
199,2017-03-10,3.7,36.5313,117.39
199,2017-03-11,2.42,36.5313,117.39
199,2017-03-12,2.62,36.5313,117.39
199,2017-03-13,1.92,36.5313,117.39
199,2017-03-14,3.86,36.5313,117.39
199,2017-03-15,3.18,36.5313,117.39
199,2017-03-16,3.46,36.5313,117.39
199,2017-03-17,2.68,36.5313,117.39
199,2017-03-18,2.88,36.5313,117.39
199,2017-03-19,3.4,36.5313,117.39
199,2017-03-20,1.24,36.5313,117.39
199,2017-03-21,3.36,36.5313,117.39
199,2017-03-22,1.3,36.5313,117.39
199,2017-03-23,0.94,36.5313,117.39
199,2017-03-24,1.04,36.5313,117.39
199,2017-03-25,2.48,36.5313,117.39
199,2017-03-26,3.22,36.5313,117.39
199,2017-03-27,3.26,36.5313,117.39
199,2017-03-28,0.06,36.5313,117.39
199,2017-03-29,0.46,36.5313,117.39
199,2017-03-30,1.44,36.5313,117.39
199,2017-03-31,0.46,36.5313,117.39
199,2017-04-01,2.78,36.5313,117.39
199,2017-04-02,2.88,36.5313,117.39
199,2017-04-03,2.88,36.5313,117.39
199,2017-04-04,1.24,36.5313,117.39
199,2017-04-05,1.44,36.5313,117.39
199,2017-04-06,4.0,36.5313,117.39
199,2017-04-07,1.86,36.5313,117.39
199,2017-04-08,1.86,36.5313,117.39
199,2017-04-09,3.26,36.5313,117.39
199,2017-04-10,2.44,36.5313,117.39
199,2017-04-11,3.86,36.5313,117.39
199,2017-04-12,4.04,36.5313,117.39
199,2017-04-13,2.46,36.5313,117.39
199,2017-04-14,3.1,36.5313,117.39
199,2017-04-15,2.98,36.5313,117.39
199,2017-04-16,0.72,36.5313,117.39
199,2017-04-17,3.86,36.5313,117.39
199,2017-04-18,4.32,36.5313,117.39
199,2017-04-19,1.04,36.5313,117.39
199,2017-04-20,3.5,36.5313,117.39
199,2017-04-21,2.78,36.5313,117.39
199,2017-04-22,4.02,36.5313,117.39
199,2017-04-23,3.96,36.5313,117.39
199,2017-04-24,2.58,36.5313,117.39
199,2017-04-25,1.12,36.5313,117.39
199,2017-04-26,4.02,36.5313,117.39
199,2017-04-27,4.12,36.5313,117.39
199,2017-04-28,3.98,36.5313,117.39
199,2017-04-29,3.86,36.5313,117.39
199,2017-04-30,3.44,36.5313,117.39
199,2017-05-01,2.42,36.5313,117.39
199,2017-05-02,3.86,36.5313,117.39
199,2017-05-03,3.04,36.5313,117.39
199,2017-05-04,1.6,36.5313,117.39
199,2017-05-05,3.04,36.5313,117.39
199,2017-05-06,3.84,36.5313,117.39
199,2017-05-07,3.74,36.5313,117.39
199,2017-05-08,1.88,36.5313,117.39
199,2017-05-09,3.72,36.5313,117.39
199,2017-05-10,3.5,36.5313,117.39
199,2017-05-11,2.48,36.5313,117.39
199,2017-05-12,3.64,36.5313,117.39
199,2017-05-13,3.64,36.5313,117.39
