id,time,dayPower/capacity,lat,lng
664,2017-01-01 22,3.2545454545454544,36.8088,117.559
664,2017-01-02 22,3.7363636363636363,36.8088,117.559
664,2017-01-03 22,3.0272727272727273,36.8088,117.559
664,2017-01-04 22,1.8772727272727272,36.8088,117.559
664,2017-01-05 22,4.418181818181818,36.8088,117.559
664,2017-01-06 22,3.8954545454545455,36.8088,117.559
664,2017-01-07 22,2.090909090909091,36.8088,117.559
664,2017-01-08 22,2.75,36.8088,117.559
664,2017-01-09 22,1.190909090909091,36.8088,117.559
664,2017-01-10 22,3.4136363636363636,36.8088,117.559
664,2017-01-11 22,0.5,36.8088,117.559
664,2017-01-12 22,3.727272727272727,36.8088,117.559
664,2017-01-13 22,3.3181818181818183,36.8088,117.559
664,2017-01-14 22,3.4545454545454546,36.8088,117.559
664,2017-01-15 22,3.859090909090909,36.8088,117.559
664,2017-01-16 22,1.2136363636363636,36.8088,117.559
664,2017-01-17 22,4.959090909090909,36.8088,117.559
664,2017-01-18 22,2.8181818181818183,36.8088,117.559
664,2017-01-19 22,1.4681818181818183,36.8088,117.559
664,2017-01-20 22,4.6863636363636365,36.8088,117.559
664,2017-01-21 22,4.754545454545455,36.8088,117.559
664,2017-01-22 22,4.904545454545454,36.8088,117.559
664,2017-01-23 22,4.709090909090909,36.8088,117.559
664,2017-01-24 22,4.2318181818181815,36.8088,117.559
664,2017-01-25 22,4.545454545454546,36.8088,117.559
664,2017-01-26 22,4.927272727272728,36.8088,117.559
664,2017-01-27 22,3.5318181818181817,36.8088,117.559
664,2017-01-28 22,3.8045454545454547,36.8088,117.559
664,2017-01-29 22,2.5545454545454547,36.8088,117.559
664,2017-01-30 22,0.8636363636363636,36.8088,117.559
664,2017-01-31 22,3.1636363636363636,36.8088,117.559
664,2017-02-01 22,5.131818181818182,36.8088,117.559
664,2017-02-02 22,0.8818181818181818,36.8088,117.559
664,2017-02-03 22,1.9954545454545454,36.8088,117.559
664,2017-02-04 22,3.9045454545454548,36.8088,117.559
664,2017-02-05 22,3.8045454545454547,36.8088,117.559
664,2017-02-06 22,0.2318181818181818,36.8088,117.559
