id,time,dayPower/capacity,lat,lng
237,2017-01-01,0.79,36.4238,116.753
237,2017-01-02,2.71,36.4238,116.753
237,2017-01-03,0.79,36.4238,116.753
237,2017-01-04,4.63,36.4238,116.753
237,2017-01-05,1.88,36.4238,116.753
237,2017-01-06,2.96,36.4238,116.753
237,2017-01-07,2.25,36.4238,116.753
237,2017-01-08,0.07,36.4238,116.753
237,2017-01-09,3.03,36.4238,116.753
237,2017-01-10,3.57,36.4238,116.753
237,2017-01-11,2.47,36.4238,116.753
237,2017-01-12,1.94,36.4238,116.753
237,2017-01-13,4.34,36.4238,116.753
237,2017-01-14,4.24,36.4238,116.753
237,2017-01-15,2.25,36.4238,116.753
237,2017-01-16,2.47,36.4238,116.753
237,2017-01-17,1.94,36.4238,116.753
237,2017-01-18,1.64,36.4238,116.753
237,2017-01-19,2.35,36.4238,116.753
237,2017-01-20,4.34,36.4238,116.753
237,2017-01-21,4.01,36.4238,116.753
237,2017-01-22,3.98,36.4238,116.753
237,2017-01-23,3.29,36.4238,116.753
237,2017-01-24,2.76,36.4238,116.753
237,2017-01-25,3.27,36.4238,116.753
237,2017-01-26,2.1,36.4238,116.753
237,2017-01-27,3.69,36.4238,116.753
237,2017-01-28,1.64,36.4238,116.753
237,2017-01-29,2.35,36.4238,116.753
237,2017-01-30,2.25,36.4238,116.753
237,2017-01-31,4.24,36.4238,116.753
237,2017-02-01,4.34,36.4238,116.753
237,2017-02-02,3.71,36.4238,116.753
237,2017-02-03,1.91,36.4238,116.753
237,2017-02-04,0.79,36.4238,116.753
237,2017-02-05,4.22,36.4238,116.753
237,2017-02-06,2.52,36.4238,116.753
237,2017-02-07,0.73,36.4238,116.753
237,2017-02-08,1.9,36.4238,116.753
237,2017-02-09,5.53,36.4238,116.753
237,2017-02-10,5.34,36.4238,116.753
237,2017-02-11,4.68,36.4238,116.753
237,2017-02-12,4.33,36.4238,116.753
237,2017-02-13,3.95,36.4238,116.753
237,2017-02-14,1.84,36.4238,116.753
237,2017-02-15,3.95,36.4238,116.753
237,2017-02-16,3.05,36.4238,116.753
237,2017-02-17,4.34,36.4238,116.753
237,2017-02-18,4.28,36.4238,116.753
237,2017-02-19,1.98,36.4238,116.753
237,2017-02-20,4.77,36.4238,116.753
237,2017-02-21,0.48,36.4238,116.753
237,2017-02-22,0.07,36.4238,116.753
237,2017-02-23,2.25,36.4238,116.753
237,2017-02-24,5.22,36.4238,116.753
237,2017-02-25,4.9,36.4238,116.753
237,2017-02-26,4.01,36.4238,116.753
237,2017-02-27,4.55,36.4238,116.753
237,2017-02-28,2.79,36.4238,116.753
237,2017-03-01,4.68,36.4238,116.753
237,2017-03-02,4.68,36.4238,116.753
237,2017-03-03,5.45,36.4238,116.753
237,2017-03-04,3.84,36.4238,116.753
237,2017-03-05,1.94,36.4238,116.753
237,2017-03-06,5.2,36.4238,116.753
237,2017-03-07,6.27,36.4238,116.753
237,2017-03-08,6.08,36.4238,116.753
237,2017-03-09,5.55,36.4238,116.753
237,2017-03-10,5.38,36.4238,116.753
237,2017-03-11,3.44,36.4238,116.753
237,2017-03-12,3.39,36.4238,116.753
237,2017-03-13,2.54,36.4238,116.753
237,2017-03-14,5.63,36.4238,116.753
237,2017-03-15,4.22,36.4238,116.753
237,2017-03-16,4.66,36.4238,116.753
237,2017-03-17,3.95,36.4238,116.753
237,2017-03-18,4.26,36.4238,116.753
237,2017-03-19,4.74,36.4238,116.753
237,2017-03-20,2.16,36.4238,116.753
237,2017-03-21,4.67,36.4238,116.753
237,2017-03-22,1.55,36.4238,116.753
237,2017-03-23,1.35,36.4238,116.753
237,2017-03-24,2.1,36.4238,116.753
237,2017-03-25,3.05,36.4238,116.753
237,2017-03-26,4.01,36.4238,116.753
237,2017-03-27,6.29,36.4238,116.753
237,2017-03-28,3.29,36.4238,116.753
237,2017-03-29,5.73,36.4238,116.753
237,2017-03-30,1.48,36.4238,116.753
237,2017-03-31,5.94,36.4238,116.753
237,2017-04-01,6.23,36.4238,116.753
237,2017-04-02,5.82,36.4238,116.753
237,2017-04-03,4.56,36.4238,116.753
237,2017-04-04,0.74,36.4238,116.753
237,2017-04-05,1.88,36.4238,116.753
237,2017-04-06,5.55,36.4238,116.753
237,2017-04-07,3.15,36.4238,116.753
237,2017-04-08,3.15,36.4238,116.753
237,2017-04-09,6.29,36.4238,116.753
237,2017-04-10,3.08,36.4238,116.753
237,2017-04-11,5.57,36.4238,116.753
237,2017-04-12,5.55,36.4238,116.753
237,2017-04-13,3.24,36.4238,116.753
237,2017-04-14,4.75,36.4238,116.753
237,2017-04-15,3.74,36.4238,116.753
237,2017-04-16,0.8,36.4238,116.753
237,2017-04-17,5.55,36.4238,116.753
237,2017-04-18,6.94,36.4238,116.753
237,2017-04-19,2.1,36.4238,116.753
237,2017-04-20,5.47,36.4238,116.753
237,2017-04-21,5.19,36.4238,116.753
237,2017-04-22,6.37,36.4238,116.753
237,2017-04-23,6.24,36.4238,116.753
237,2017-04-24,3.97,36.4238,116.753
237,2017-04-25,1.91,36.4238,116.753
237,2017-04-26,6.28,36.4238,116.753
237,2017-04-27,6.5,36.4238,116.753
237,2017-04-28,6.1,36.4238,116.753
237,2017-04-29,5.94,36.4238,116.753
