id,time,dayPower/capacity,lat,lng
107,2017-01-01,2.24,37.3297,117.022
107,2017-01-02,3.04,37.3297,117.022
107,2017-01-03,1.36,37.3297,117.022
107,2017-01-04,0.62,37.3297,117.022
107,2017-01-05,0.3,37.3297,117.022
107,2017-01-06,0.84,37.3297,117.022
107,2017-01-07,0.7,37.3297,117.022
107,2017-01-08,2.28,37.3297,117.022
107,2017-01-09,3.64,37.3297,117.022
107,2017-01-10,4.3,37.3297,117.022
107,2017-01-11,3.26,37.3297,117.022
107,2017-01-12,0.82,37.3297,117.022
107,2017-01-13,4.5,37.3297,117.022
107,2017-01-14,4.7,37.3297,117.022
107,2017-01-15,2.76,37.3297,117.022
107,2017-01-16,1.88,37.3297,117.022
107,2017-01-17,1.16,37.3297,117.022
107,2017-01-18,2.28,37.3297,117.022
107,2017-01-19,0.82,37.3297,117.022
107,2017-01-20,5.04,37.3297,117.022
107,2017-01-21,4.42,37.3297,117.022
107,2017-01-22,4.66,37.3297,117.022
107,2017-01-23,3.24,37.3297,117.022
107,2017-01-24,2.44,37.3297,117.022
107,2017-01-25,3.16,37.3297,117.022
107,2017-01-26,1.98,37.3297,117.022
107,2017-01-27,4.24,37.3297,117.022
107,2017-01-28,0.16,37.3297,117.022
107,2017-01-29,1.8,37.3297,117.022
107,2017-01-30,5.26,37.3297,117.022
107,2017-01-31,3.4,37.3297,117.022
107,2017-02-01,5.28,37.3297,117.022
107,2017-02-02,4.2,37.3297,117.022
107,2017-02-03,2.84,37.3297,117.022
107,2017-02-04,0.64,37.3297,117.022
107,2017-02-05,3.94,37.3297,117.022
107,2017-02-06,2.74,37.3297,117.022
107,2017-02-07,1.68,37.3297,117.022
107,2017-02-08,2.78,37.3297,117.022
107,2017-02-09,5.84,37.3297,117.022
107,2017-02-10,5.86,37.3297,117.022
107,2017-02-11,4.92,37.3297,117.022
107,2017-02-12,4.6,37.3297,117.022
107,2017-02-13,3.7,37.3297,117.022
107,2017-02-14,2.92,37.3297,117.022
107,2017-02-15,4.36,37.3297,117.022
107,2017-02-16,0.84,37.3297,117.022
107,2017-02-17,4.0,37.3297,117.022
107,2017-02-18,4.9,37.3297,117.022
107,2017-02-19,2.22,37.3297,117.022
107,2017-02-20,4.82,37.3297,117.022
107,2017-02-21,0.66,37.3297,117.022
107,2017-02-22,0.9,37.3297,117.022
107,2017-02-23,6.42,37.3297,117.022
107,2017-02-24,5.8,37.3297,117.022
107,2017-02-25,5.88,37.3297,117.022
107,2017-02-26,5.2,37.3297,117.022
