id,time,dayPower/capacity,lat,lng
317,2017-01-01,3.0,36.15,116.277
317,2017-01-02,3.0,36.15,116.277
317,2017-01-03,3.0,36.15,116.277
317,2017-01-04,4.74,36.15,116.277
317,2017-01-05,1.06,36.15,116.277
317,2017-01-06,3.0,36.15,116.277
317,2017-01-07,2.36,36.15,116.277
317,2017-01-08,3.18,36.15,116.277
317,2017-01-09,3.0,36.15,116.277
317,2017-01-10,4.3,36.15,116.277
317,2017-01-11,3.32,36.15,116.277
317,2017-01-12,4.7,36.15,116.277
317,2017-01-13,4.46,36.15,116.277
317,2017-01-14,2.64,36.15,116.277
317,2017-01-15,0.4,36.15,116.277
317,2017-01-16,3.0,36.15,116.277
317,2017-01-17,1.02,36.15,116.277
317,2017-01-18,3.64,36.15,116.277
317,2017-01-19,4.52,36.15,116.277
317,2017-01-20,4.46,36.15,116.277
317,2017-01-21,4.46,36.15,116.277
317,2017-01-22,4.46,36.15,116.277
317,2017-01-23,4.12,36.15,116.277
317,2017-01-24,4.14,36.15,116.277
317,2017-01-25,3.0,36.15,116.277
317,2017-01-26,1.4,36.15,116.277
317,2017-01-27,3.88,36.15,116.277
317,2017-01-28,2.38,36.15,116.277
317,2017-01-29,2.64,36.15,116.277
317,2017-01-30,0.4,36.15,116.277
317,2017-01-31,2.64,36.15,116.277
317,2017-02-01,4.12,36.15,116.277
317,2017-02-02,0.4,36.15,116.277
317,2017-02-03,2.7,36.15,116.277
317,2017-02-04,3.0,36.15,116.277
317,2017-02-05,3.42,36.15,116.277
317,2017-02-06,4.54,36.15,116.277
317,2017-02-07,4.54,36.15,116.277
317,2017-02-08,3.4,36.15,116.277
317,2017-02-09,4.46,36.15,116.277
317,2017-02-10,4.46,36.15,116.277
317,2017-02-11,5.94,36.15,116.277
317,2017-02-12,4.2,36.15,116.277
317,2017-02-13,3.7,36.15,116.277
317,2017-02-14,3.04,36.15,116.277
317,2017-02-15,4.78,36.15,116.277
317,2017-02-16,2.68,36.15,116.277
317,2017-02-17,6.0,36.15,116.277
317,2017-02-18,3.7,36.15,116.277
317,2017-02-19,2.42,36.15,116.277
317,2017-02-20,2.64,36.15,116.277
317,2017-02-21,1.12,36.15,116.277
317,2017-02-22,0.46,36.15,116.277
317,2017-02-23,1.74,36.15,116.277
317,2017-02-24,3.7,36.15,116.277
317,2017-02-25,3.04,36.15,116.277
317,2017-02-26,4.06,36.15,116.277
317,2017-02-27,3.98,36.15,116.277
317,2017-02-28,5.5,36.15,116.277
317,2017-03-01,3.68,36.15,116.277
317,2017-03-02,5.94,36.15,116.277
317,2017-03-03,3.98,36.15,116.277
317,2017-03-04,4.78,36.15,116.277
317,2017-03-05,3.6,36.15,116.277
317,2017-03-06,4.2,36.15,116.277
317,2017-03-07,4.22,36.15,116.277
317,2017-03-08,5.94,36.15,116.277
317,2017-03-09,5.2,36.15,116.277
317,2017-03-10,5.34,36.15,116.277
317,2017-03-11,4.52,36.15,116.277
317,2017-03-12,4.44,36.15,116.277
317,2017-03-13,4.8,36.15,116.277
317,2017-03-14,1.06,36.15,116.277
317,2017-03-15,1.34,36.15,116.277
317,2017-03-16,4.66,36.15,116.277
317,2017-03-17,4.1,36.15,116.277
317,2017-03-18,3.96,36.15,116.277
317,2017-03-19,6.02,36.15,116.277
317,2017-03-20,3.28,36.15,116.277
317,2017-03-21,3.98,36.15,116.277
317,2017-03-22,0.44,36.15,116.277
317,2017-03-23,1.34,36.15,116.277
317,2017-03-24,2.86,36.15,116.277
317,2017-03-25,4.8,36.15,116.277
317,2017-03-26,4.06,36.15,116.277
317,2017-03-27,2.0,36.15,116.277
317,2017-03-28,3.18,36.15,116.277
317,2017-03-29,4.8,36.15,116.277
317,2017-03-30,3.04,36.15,116.277
317,2017-03-31,1.48,36.15,116.277
317,2017-04-01,4.78,36.15,116.277
317,2017-04-02,5.34,36.15,116.277
317,2017-04-03,1.72,36.15,116.277
317,2017-04-04,1.72,36.15,116.277
317,2017-04-05,1.06,36.15,116.277
317,2017-04-06,5.9,36.15,116.277
317,2017-04-07,3.28,36.15,116.277
317,2017-04-08,1.44,36.15,116.277
317,2017-04-09,2.94,36.15,116.277
317,2017-04-10,3.04,36.15,116.277
317,2017-04-11,3.9,36.15,116.277
317,2017-04-12,4.48,36.15,116.277
317,2017-04-13,3.28,36.15,116.277
317,2017-04-14,5.9,36.15,116.277
317,2017-04-15,4.62,36.15,116.277
317,2017-04-16,1.36,36.15,116.277
317,2017-04-17,4.96,36.15,116.277
317,2017-04-18,5.78,36.15,116.277
317,2017-04-19,1.28,36.15,116.277
317,2017-04-20,2.88,36.15,116.277
317,2017-04-21,2.68,36.15,116.277
317,2017-04-22,3.96,36.15,116.277
317,2017-04-23,3.32,36.15,116.277
317,2017-04-24,3.06,36.15,116.277
317,2017-04-25,3.06,36.15,116.277
317,2017-04-26,2.78,36.15,116.277
317,2017-04-27,4.88,36.15,116.277
317,2017-04-28,6.2,36.15,116.277
317,2017-04-29,4.64,36.15,116.277
317,2017-04-30,4.34,36.15,116.277
317,2017-05-01,5.2,36.15,116.277
317,2017-05-02,6.3,36.15,116.277
317,2017-05-03,3.92,36.15,116.277
317,2017-05-04,5.12,36.15,116.277
317,2017-05-05,6.2,36.15,116.277
317,2017-05-06,4.02,36.15,116.277
317,2017-05-07,2.28,36.15,116.277
317,2017-05-08,2.98,36.15,116.277
317,2017-05-09,5.9,36.15,116.277
317,2017-05-10,4.62,36.15,116.277
317,2017-05-11,5.18,36.15,116.277
317,2017-05-12,5.92,36.15,116.277
317,2017-05-13,6.0,36.15,116.277
317,2017-05-14,4.72,36.15,116.277
317,2017-05-15,3.54,36.15,116.277
317,2017-05-16,3.6,36.15,116.277
317,2017-05-17,5.84,36.15,116.277
317,2017-05-18,5.64,36.15,116.277
317,2017-05-19,4.34,36.15,116.277
317,2017-05-20,4.96,36.15,116.277
317,2017-05-21,4.68,36.15,116.277
317,2017-05-22,4.94,36.15,116.277
317,2017-05-23,3.62,36.15,116.277
317,2017-05-24,6.3,36.15,116.277
317,2017-05-25,6.04,36.15,116.277
317,2017-05-26,6.0,36.15,116.277
317,2017-05-27,5.74,36.15,116.277
317,2017-05-28,5.66,36.15,116.277
317,2017-05-29,4.68,36.15,116.277
317,2017-05-30,5.04,36.15,116.277
317,2017-05-31,5.42,36.15,116.277
317,2017-06-01,5.44,36.15,116.277
317,2017-06-02,5.28,36.15,116.277
317,2017-06-03,5.12,36.15,116.277
317,2017-06-04,5.12,36.15,116.277
317,2017-06-05,1.72,36.15,116.277
317,2017-06-06,1.36,36.15,116.277
317,2017-06-07,5.9,36.15,116.277
317,2017-06-08,3.5,36.15,116.277
317,2017-06-09,4.74,36.15,116.277
317,2017-06-10,1.9,36.15,116.277
317,2017-06-11,3.94,36.15,116.277
317,2017-06-12,4.76,36.15,116.277
317,2017-06-13,5.14,36.15,116.277
317,2017-06-14,5.48,36.15,116.277
317,2017-06-15,4.16,36.15,116.277
317,2017-06-16,5.38,36.15,116.277
317,2017-06-17,5.5,36.15,116.277
317,2017-06-18,4.66,36.15,116.277
317,2017-06-19,5.64,36.15,116.277
317,2017-06-20,3.5,36.15,116.277
317,2017-06-21,4.66,36.15,116.277
317,2017-06-22,0.66,36.15,116.277
317,2017-06-23,1.2,36.15,116.277
317,2017-06-24,4.12,36.15,116.277
317,2017-06-25,5.38,36.15,116.277
317,2017-06-26,5.26,36.15,116.277
317,2017-06-27,5.08,36.15,116.277
317,2017-06-28,4.66,36.15,116.277
317,2017-06-29,4.3,36.15,116.277
317,2017-06-30,4.04,36.15,116.277
317,2017-07-01,3.94,36.15,116.277
317,2017-07-02,3.58,36.15,116.277
317,2017-07-03,4.28,36.15,116.277
