id,time,dayPower/capacity,lat,lng
324,2017-01-01,2.68,36.2146,116.315
324,2017-01-02,2.68,36.2146,116.315
324,2017-01-03,2.68,36.2146,116.315
324,2017-01-04,2.18,36.2146,116.315
324,2017-01-05,1.08,36.2146,116.315
324,2017-01-06,2.78,36.2146,116.315
324,2017-01-07,2.88,36.2146,116.315
324,2017-01-08,2.18,36.2146,116.315
324,2017-01-09,2.78,36.2146,116.315
324,2017-01-10,2.44,36.2146,116.315
324,2017-01-11,1.08,36.2146,116.315
324,2017-01-12,2.68,36.2146,116.315
324,2017-01-13,4.46,36.2146,116.315
324,2017-01-14,2.3,36.2146,116.315
324,2017-01-15,0.46,36.2146,116.315
324,2017-01-16,2.78,36.2146,116.315
324,2017-01-17,1.1,36.2146,116.315
324,2017-01-18,2.88,36.2146,116.315
324,2017-01-19,4.58,36.2146,116.315
324,2017-01-20,4.46,36.2146,116.315
324,2017-01-21,4.46,36.2146,116.315
324,2017-01-22,4.46,36.2146,116.315
324,2017-01-23,3.88,36.2146,116.315
324,2017-01-24,4.08,36.2146,116.315
324,2017-01-25,2.78,36.2146,116.315
324,2017-01-26,1.22,36.2146,116.315
324,2017-01-27,3.72,36.2146,116.315
324,2017-01-28,0.78,36.2146,116.315
324,2017-01-29,1.84,36.2146,116.315
324,2017-01-30,0.46,36.2146,116.315
324,2017-01-31,2.3,36.2146,116.315
324,2017-02-01,3.88,36.2146,116.315
324,2017-02-02,0.46,36.2146,116.315
324,2017-02-03,2.54,36.2146,116.315
324,2017-02-04,2.68,36.2146,116.315
324,2017-02-05,2.78,36.2146,116.315
324,2017-02-06,4.7,36.2146,116.315
324,2017-02-07,4.7,36.2146,116.315
324,2017-02-08,3.56,36.2146,116.315
324,2017-02-09,4.46,36.2146,116.315
324,2017-02-10,4.46,36.2146,116.315
324,2017-02-11,6.2,36.2146,116.315
324,2017-02-12,4.0,36.2146,116.315
324,2017-02-13,3.04,36.2146,116.315
324,2017-02-14,1.76,36.2146,116.315
324,2017-02-15,4.76,36.2146,116.315
324,2017-02-16,1.68,36.2146,116.315
324,2017-02-17,5.9,36.2146,116.315
324,2017-02-18,3.04,36.2146,116.315
324,2017-02-19,2.18,36.2146,116.315
324,2017-02-20,1.84,36.2146,116.315
324,2017-02-21,0.88,36.2146,116.315
324,2017-02-22,0.54,36.2146,116.315
324,2017-02-23,1.04,36.2146,116.315
324,2017-02-24,3.04,36.2146,116.315
324,2017-02-25,3.28,36.2146,116.315
324,2017-02-26,4.04,36.2146,116.315
324,2017-02-27,4.46,36.2146,116.315
324,2017-02-28,3.66,36.2146,116.315
324,2017-03-01,4.68,36.2146,116.315
324,2017-03-02,6.2,36.2146,116.315
324,2017-03-03,4.46,36.2146,116.315
324,2017-03-04,4.76,36.2146,116.315
324,2017-03-05,3.48,36.2146,116.315
324,2017-03-06,4.0,36.2146,116.315
324,2017-03-07,4.14,36.2146,116.315
324,2017-03-08,6.2,36.2146,116.315
