id,time,dayPower,capacity
73,2017-01-01,169,100
73,2017-01-02,276,100
73,2017-01-03,169,100
73,2017-01-04,482,100
73,2017-01-05,194,100
73,2017-01-06,319,100
73,2017-01-07,238,100
73,2017-01-08,283,100
73,2017-01-09,227,100
73,2017-01-10,14,100
73,2017-01-11,264,100
73,2017-01-12,224,100
73,2017-01-13,414,100
73,2017-01-14,432,100
73,2017-01-15,202,100
73,2017-01-16,227,100
73,2017-01-17,200,100
73,2017-01-18,171,100
73,2017-01-19,259,100
73,2017-01-20,479,100
73,2017-01-21,415,100
73,2017-01-22,391,100
73,2017-01-23,339,100
73,2017-01-24,286,100
73,2017-01-25,334,100
73,2017-01-26,200,100
73,2017-01-27,339,100
73,2017-01-28,10,100
73,2017-01-29,158,100
73,2017-01-30,496,100
73,2017-01-31,263,100
73,2017-02-01,437,100
73,2017-02-02,372,100
73,2017-02-03,126,100
73,2017-02-04,169,100
73,2017-02-05,357,100
73,2017-02-06,225,100
73,2017-02-07,77,100
73,2017-02-08,186,100
73,2017-02-09,529,100
73,2017-02-10,521,100
73,2017-02-11,475,100
73,2017-02-12,440,100
73,2017-02-13,440,100
73,2017-02-14,222,100
73,2017-02-15,388,100
73,2017-02-16,330,100
73,2017-02-17,414,100
73,2017-02-18,431,100
73,2017-02-19,330,100
73,2017-02-20,519,100
73,2017-02-21,54,100
73,2017-02-22,133,100
73,2017-02-23,590,100
73,2017-02-24,534,100
73,2017-02-25,521,100
73,2017-02-26,481,100
73,2017-02-27,510,100
73,2017-02-28,287,100
73,2017-03-01,292,100
73,2017-03-02,611,100
73,2017-03-03,559,100
73,2017-03-04,510,100
73,2017-03-05,224,100
73,2017-03-06,510,100
73,2017-03-07,645,100
73,2017-03-08,614,100
73,2017-03-09,585,100
73,2017-03-10,585,100
73,2017-03-11,383,100
73,2017-03-12,534,100
73,2017-03-13,510,100
73,2017-03-14,481,100
73,2017-03-15,427,100
73,2017-03-16,529,100
73,2017-03-17,447,100
73,2017-03-18,491,100
73,2017-03-19,292,100
73,2017-03-20,534,100
73,2017-03-21,510,100
73,2017-03-22,247,100
73,2017-03-23,196,100
73,2017-03-24,251,100
73,2017-03-25,480,100
73,2017-03-26,611,100
73,2017-03-27,619,100
73,2017-03-28,283,100
73,2017-03-29,566,100
73,2017-03-30,149,100
73,2017-03-31,592,100
73,2017-04-01,388,100
73,2017-04-02,491,100
73,2017-04-03,491,100
73,2017-04-04,534,100
73,2017-04-05,194,100
73,2017-04-06,579,100
73,2017-04-07,304,100
73,2017-04-08,304,100
73,2017-04-09,619,100
73,2017-04-10,265,100
73,2017-04-11,388,100
73,2017-04-12,565,100
73,2017-04-13,340,100
73,2017-04-14,414,100
73,2017-04-15,356,100
73,2017-04-16,149,100
73,2017-04-17,565,100
73,2017-04-18,669,100
73,2017-04-19,154,100
73,2017-04-20,546,100
73,2017-04-21,539,100
73,2017-04-22,491,100
73,2017-04-23,595,100
73,2017-04-24,399,100
73,2017-04-25,200,100
73,2017-04-26,586,100
73,2017-04-27,609,100
73,2017-04-28,577,100
73,2017-04-29,570,100
73,2017-04-30,523,100
73,2017-05-01,470,100
73,2017-05-02,512,100
73,2017-05-03,470,100
73,2017-05-04,487,100
73,2017-05-05,468,100
73,2017-05-06,614,100
73,2017-05-07,575,100
73,2017-05-08,170,100
73,2017-05-09,627,100
73,2017-05-10,556,100
73,2017-05-11,421,100
73,2017-05-12,606,100
73,2017-05-13,621,100
73,2017-05-14,511,100
73,2017-05-15,378,100
73,2017-05-16,607,100
73,2017-05-17,607,100
73,2017-05-18,584,100
73,2017-05-19,465,100
73,2017-05-20,544,100
73,2017-05-21,482,100
73,2017-05-22,484,100
73,2017-05-23,514,100
73,2017-05-24,655,100
73,2017-05-25,639,100
73,2017-05-26,621,100
73,2017-05-27,595,100
73,2017-05-28,591,100
73,2017-05-29,481,100
73,2017-05-30,527,100
73,2017-05-31,572,100
73,2017-06-01,574,100
73,2017-06-02,536,100
73,2017-06-03,541,100
73,2017-06-04,537,100
73,2017-06-05,184,100
73,2017-06-06,152,100
73,2017-06-07,615,100
73,2017-06-08,393,100
73,2017-06-09,482,100
73,2017-06-10,222,100
73,2017-06-11,433,100
73,2017-06-12,493,100
73,2017-06-13,541,100
73,2017-06-14,581,100
73,2017-06-15,393,100
73,2017-06-16,544,100
73,2017-06-17,589,100
73,2017-06-18,503,100
73,2017-06-19,536,100
73,2017-06-20,414,100
73,2017-06-21,451,100
73,2017-06-22,71,100
73,2017-06-23,134,100
73,2017-06-24,436,100
73,2017-06-25,557,100
73,2017-06-26,433,100
73,2017-06-27,482,100
73,2017-06-28,451,100
73,2017-06-29,544,100
73,2017-06-30,493,100
73,2017-07-01,544,100
73,2017-07-02,493,100
73,2017-07-03,511,100
73,2017-07-04,339,100
73,2017-07-05,324,100
73,2017-07-06,254,100
73,2017-07-07,507,100
73,2017-07-08,586,100
73,2017-07-09,272,100
73,2017-07-10,587,100
73,2017-07-11,557,100
73,2017-07-12,557,100
73,2017-07-13,557,100
73,2017-07-14,451,100
73,2017-07-15,237,100
73,2017-07-16,192,100
73,2017-07-17,-1,100
73,2017-07-18,274,100
73,2017-07-19,471,100
73,2017-07-20,561,100
73,2017-07-21,372,100
73,2017-07-22,284,100
73,2017-07-23,498,100
73,2017-07-24,284,100
73,2017-07-25,393,100
73,2017-07-26,192,100
73,2017-07-27,393,100
73,2017-07-28,188,100
73,2017-07-29,80,100
73,2017-07-30,227,100
73,2017-07-31,300,100
73,2017-08-01,415,100
73,2017-08-02,237,100
73,2017-08-03,462,100
73,2017-08-04,543,100
73,2017-08-05,524,100
73,2017-08-06,483,100
73,2017-08-07,352,100
73,2017-08-08,519,100
73,2017-08-09,462,100
73,2017-08-10,557,100
73,2017-08-11,557,100
73,2017-08-12,498,100
73,2017-08-13,493,100
73,2017-08-14,332,100
73,2017-08-15,538,100
73,2017-08-16,447,100
73,2017-08-17,342,100
73,2017-08-18,349,100
73,2017-08-19,307,100
73,2017-08-20,535,100
73,2017-08-21,516,100
73,2017-08-22,451,100
73,2017-08-23,462,100
73,2017-08-24,507,100
73,2017-08-25,544,100
73,2017-08-26,451,100
73,2017-08-27,451,100
73,2017-08-28,332,100
73,2017-08-29,154,100
73,2017-08-30,332,100
73,2017-08-31,433,100
73,2017-09-01,433,100
73,2017-09-02,396,100
73,2017-09-03,302,100
73,2017-09-04,317,100
73,2017-09-05,319,100
73,2017-09-06,425,100
73,2017-09-07,589,100
73,2017-09-08,433,100
73,2017-09-09,493,100
73,2017-09-10,433,100
73,2017-09-11,433,100
73,2017-09-12,544,100
73,2017-09-13,497,100
73,2017-09-14,575,100
73,2017-09-15,471,100
73,2017-09-16,156,100
73,2017-09-17,511,100
73,2017-09-18,436,100
73,2017-09-19,473,100
73,2017-09-20,555,100
73,2017-09-21,449,100
73,2017-09-22,485,100
73,2017-09-23,435,100
73,2017-09-24,427,100
73,2017-09-25,170,100
73,2017-09-26,134,100
73,2017-09-27,287,100
73,2017-09-28,608,100
73,2017-09-29,324,100
73,2017-09-30,408,100
73,2017-10-01,260,100
73,2017-10-02,441,100
73,2017-10-03,76,100
73,2017-10-04,185,100
73,2017-10-05,292,100
73,2017-10-06,493,100
73,2017-10-07,68,100
73,2017-10-08,56,100
73,2017-10-09,41,100
73,2017-10-10,29,100
73,2017-10-11,305,100
73,2017-10-12,325,100
73,2017-10-13,357,100
73,2017-10-14,198,100
73,2017-10-15,192,100
73,2017-10-16,84,100
73,2017-10-17,78,100
73,2017-10-18,115,100
73,2017-10-19,369,100
73,2017-10-20,472,100
73,2017-10-21,455,100
73,2017-10-22,374,100
73,2017-10-23,434,100
73,2017-10-24,522,100
73,2017-10-25,196,100
73,2017-10-26,595,100
73,2017-10-27,595,100
73,2017-10-28,398,100
73,2017-10-29,582,100
73,2017-10-30,546,100
73,2017-10-31,242,100
73,2017-11-01,238,100
73,2017-11-02,366,100
73,2017-11-03,482,100
73,2017-11-04,546,100
73,2017-11-05,447,100
73,2017-11-06,411,100
73,2017-11-07,302,100
73,2017-11-08,363,100
73,2017-11-09,176,100
73,2017-11-10,487,100
73,2017-11-11,427,100
73,2017-11-12,296,100
73,2017-11-13,394,100
73,2017-11-14,455,100
73,2017-11-15,478,100
73,2017-11-16,131,100
73,2017-11-17,357,100
73,2017-11-18,645,100
73,2017-11-19,265,100
73,2017-11-20,521,100
73,2017-11-21,296,100
73,2017-11-22,510,100
73,2017-11-23,611,100
73,2017-11-24,611,100
73,2017-11-25,521,100
