id,time,dayPower,capacity,lat,lng
168,2017-01-01,31,50,37.4337,117.23
168,2017-01-02,101,50,37.4337,117.23
168,2017-01-03,31,50,37.4337,117.23
168,2017-01-04,272,50,37.4337,117.23
168,2017-01-05,112,50,37.4337,117.23
168,2017-01-06,117,50,37.4337,117.23
168,2017-01-07,94,50,37.4337,117.23
168,2017-01-08,152,50,37.4337,117.23
168,2017-01-09,93,50,37.4337,117.23
168,2017-01-10,162,50,37.4337,117.23
168,2017-01-11,8,50,37.4337,117.23
168,2017-01-12,83,50,37.4337,117.23
168,2017-01-13,196,50,37.4337,117.23
168,2017-01-14,225,50,37.4337,117.23
168,2017-01-15,142,50,37.4337,117.23
168,2017-01-16,93,50,37.4337,117.23
168,2017-01-17,51,50,37.4337,117.23
168,2017-01-18,117,50,37.4337,117.23
168,2017-01-19,71,50,37.4337,117.23
168,2017-01-20,237,50,37.4337,117.23
168,2017-01-21,210,50,37.4337,117.23
168,2017-01-22,216,50,37.4337,117.23
168,2017-01-23,162,50,37.4337,117.23
168,2017-01-24,122,50,37.4337,117.23
168,2017-01-25,152,50,37.4337,117.23
168,2017-01-26,96,50,37.4337,117.23
168,2017-01-27,206,50,37.4337,117.23
168,2017-01-28,117,50,37.4337,117.23
168,2017-01-29,71,50,37.4337,117.23
168,2017-01-30,142,50,37.4337,117.23
168,2017-01-31,225,50,37.4337,117.23
168,2017-02-01,196,50,37.4337,117.23
168,2017-02-02,200,50,37.4337,117.23
168,2017-02-03,150,50,37.4337,117.23
168,2017-02-04,31,50,37.4337,117.23
168,2017-02-05,194,50,37.4337,117.23
168,2017-02-06,125,50,37.4337,117.23
168,2017-02-07,83,50,37.4337,117.23
168,2017-02-08,129,50,37.4337,117.23
168,2017-02-09,269,50,37.4337,117.23
168,2017-02-10,274,50,37.4337,117.23
168,2017-02-11,226,50,37.4337,117.23
168,2017-02-12,221,50,37.4337,117.23
168,2017-02-13,174,50,37.4337,117.23
168,2017-02-14,148,50,37.4337,117.23
