id,time,dayPower,capacity,lat,lng
178,2017-01-01,35,50,36.7678,117.413
178,2017-01-02,137,50,36.7678,117.413
178,2017-01-03,35,50,36.7678,117.413
178,2017-01-04,258,50,36.7678,117.413
178,2017-01-05,120,50,36.7678,117.413
178,2017-01-06,147,50,36.7678,117.413
178,2017-01-07,102,50,36.7678,117.413
178,2017-01-08,47,50,36.7678,117.413
178,2017-01-09,116,50,36.7678,117.413
178,2017-01-10,192,50,36.7678,117.413
178,2017-01-11,138,50,36.7678,117.413
178,2017-01-12,227,50,36.7678,117.413
178,2017-01-13,185,50,36.7678,117.413
178,2017-01-14,225,50,36.7678,117.413
178,2017-01-15,128,50,36.7678,117.413
178,2017-01-16,116,50,36.7678,117.413
178,2017-01-17,112,50,36.7678,117.413
178,2017-01-18,78,50,36.7678,117.413
178,2017-01-19,99,50,36.7678,117.413
178,2017-01-20,240,50,36.7678,117.413
178,2017-01-21,199,50,36.7678,117.413
178,2017-01-22,218,50,36.7678,117.413
178,2017-01-23,158,50,36.7678,117.413
178,2017-01-24,124,50,36.7678,117.413
178,2017-01-25,116,50,36.7678,117.413
178,2017-01-26,110,50,36.7678,117.413
178,2017-01-27,158,50,36.7678,117.413
178,2017-01-28,78,50,36.7678,117.413
178,2017-01-29,99,50,36.7678,117.413
178,2017-01-30,128,50,36.7678,117.413
178,2017-01-31,225,50,36.7678,117.413
178,2017-02-01,185,50,36.7678,117.413
178,2017-02-02,199,50,36.7678,117.413
178,2017-02-03,104,50,36.7678,117.413
178,2017-02-04,35,50,36.7678,117.413
178,2017-02-05,226,50,36.7678,117.413
178,2017-02-06,124,50,36.7678,117.413
178,2017-02-07,124,50,36.7678,117.413
178,2017-02-08,93,50,36.7678,117.413
178,2017-02-09,288,50,36.7678,117.413
178,2017-02-10,285,50,36.7678,117.413
178,2017-02-11,247,50,36.7678,117.413
178,2017-02-12,238,50,36.7678,117.413
178,2017-02-13,200,50,36.7678,117.413
178,2017-02-14,125,50,36.7678,117.413
178,2017-02-15,191,50,36.7678,117.413
178,2017-02-16,161,50,36.7678,117.413
178,2017-02-17,203,50,36.7678,117.413
178,2017-02-18,226,50,36.7678,117.413
178,2017-02-19,131,50,36.7678,117.413
178,2017-02-20,239,50,36.7678,117.413
178,2017-02-21,36,50,36.7678,117.413
178,2017-02-22,70,50,36.7678,117.413
178,2017-02-23,288,50,36.7678,117.413
178,2017-02-24,226,50,36.7678,117.413
178,2017-02-25,267,50,36.7678,117.413
178,2017-02-26,238,50,36.7678,117.413
178,2017-02-27,240,50,36.7678,117.413
178,2017-02-28,175,50,36.7678,117.413
178,2017-03-01,247,50,36.7678,117.413
178,2017-03-02,301,50,36.7678,117.413
178,2017-03-03,260,50,36.7678,117.413
178,2017-03-04,205,50,36.7678,117.413
178,2017-03-05,195,50,36.7678,117.413
178,2017-03-06,263,50,36.7678,117.413
178,2017-03-07,307,50,36.7678,117.413
178,2017-03-08,298,50,36.7678,117.413
178,2017-03-09,281,50,36.7678,117.413
178,2017-03-10,273,50,36.7678,117.413
178,2017-03-11,205,50,36.7678,117.413
178,2017-03-12,226,50,36.7678,117.413
178,2017-03-13,154,50,36.7678,117.413
178,2017-03-14,277,50,36.7678,117.413
178,2017-03-15,226,50,36.7678,117.413
178,2017-03-16,234,50,36.7678,117.413
178,2017-03-17,168,50,36.7678,117.413
178,2017-03-18,198,50,36.7678,117.413
178,2017-03-19,228,50,36.7678,117.413
178,2017-03-20,89,50,36.7678,117.413
178,2017-03-21,239,50,36.7678,117.413
178,2017-03-22,125,50,36.7678,117.413
178,2017-03-23,107,50,36.7678,117.413
178,2017-03-24,110,50,36.7678,117.413
178,2017-03-25,161,50,36.7678,117.413
178,2017-03-26,260,50,36.7678,117.413
178,2017-03-27,302,50,36.7678,117.413
178,2017-03-28,47,50,36.7678,117.413
178,2017-03-29,300,50,36.7678,117.413
178,2017-03-30,120,50,36.7678,117.413
178,2017-03-31,246,50,36.7678,117.413
178,2017-04-01,316,50,36.7678,117.413
178,2017-04-02,198,50,36.7678,117.413
178,2017-04-03,198,50,36.7678,117.413
178,2017-04-04,89,50,36.7678,117.413
178,2017-04-05,120,50,36.7678,117.413
178,2017-04-06,198,50,36.7678,117.413
178,2017-04-07,89,50,36.7678,117.413
178,2017-04-08,89,50,36.7678,117.413
178,2017-04-09,302,50,36.7678,117.413
178,2017-04-10,120,50,36.7678,117.413
178,2017-04-11,316,50,36.7678,117.413
178,2017-04-12,302,50,36.7678,117.413
178,2017-04-13,89,50,36.7678,117.413
178,2017-04-14,198,50,36.7678,117.413
178,2017-04-15,260,50,36.7678,117.413
178,2017-04-16,120,50,36.7678,117.413
178,2017-04-17,302,50,36.7678,117.413
178,2017-04-18,198,50,36.7678,117.413
178,2017-04-19,110,50,36.7678,117.413
178,2017-04-20,198,50,36.7678,117.413
178,2017-04-21,233,50,36.7678,117.413
178,2017-04-22,315,50,36.7678,117.413
178,2017-04-23,293,50,36.7678,117.413
178,2017-04-24,205,50,36.7678,117.413
178,2017-04-25,316,50,36.7678,117.413
178,2017-04-26,205,50,36.7678,117.413
178,2017-04-27,198,50,36.7678,117.413
178,2017-04-28,311,50,36.7678,117.413
178,2017-04-29,311,50,36.7678,117.413
178,2017-04-30,131,50,36.7678,117.413
178,2017-05-01,205,50,36.7678,117.413
178,2017-05-02,311,50,36.7678,117.413
178,2017-05-03,225,50,36.7678,117.413
178,2017-05-04,176,50,36.7678,117.413
178,2017-05-05,255,50,36.7678,117.413
178,2017-05-06,307,50,36.7678,117.413
178,2017-05-07,280,50,36.7678,117.413
178,2017-05-08,99,50,36.7678,117.413
178,2017-05-09,289,50,36.7678,117.413
178,2017-05-10,274,50,36.7678,117.413
178,2017-05-11,210,50,36.7678,117.413
178,2017-05-12,311,50,36.7678,117.413
178,2017-05-13,311,50,36.7678,117.413
178,2017-05-14,273,50,36.7678,117.413
178,2017-05-15,210,50,36.7678,117.413
178,2017-05-16,294,50,36.7678,117.413
178,2017-05-17,293,50,36.7678,117.413
178,2017-05-18,283,50,36.7678,117.413
178,2017-05-19,216,50,36.7678,117.413
178,2017-05-20,248,50,36.7678,117.413
178,2017-05-21,230,50,36.7678,117.413
178,2017-05-22,175,50,36.7678,117.413
178,2017-05-23,176,50,36.7678,117.413
178,2017-05-24,328,50,36.7678,117.413
178,2017-05-25,313,50,36.7678,117.413
178,2017-05-26,302,50,36.7678,117.413
178,2017-05-27,286,50,36.7678,117.413
178,2017-05-28,289,50,36.7678,117.413
178,2017-05-29,233,50,36.7678,117.413
178,2017-05-30,253,50,36.7678,117.413
178,2017-05-31,270,50,36.7678,117.413
178,2017-06-01,277,50,36.7678,117.413
178,2017-06-02,233,50,36.7678,117.413
178,2017-06-03,176,50,36.7678,117.413
178,2017-06-04,269,50,36.7678,117.413
178,2017-06-05,166,50,36.7678,117.413
178,2017-06-06,61,50,36.7678,117.413
178,2017-06-07,307,50,36.7678,117.413
178,2017-06-08,261,50,36.7678,117.413
178,2017-06-09,258,50,36.7678,117.413
178,2017-06-10,137,50,36.7678,117.413
178,2017-06-11,194,50,36.7678,117.413
178,2017-06-12,134,50,36.7678,117.413
178,2017-06-13,175,50,36.7678,117.413
178,2017-06-14,261,50,36.7678,117.413
178,2017-06-15,237,50,36.7678,117.413
178,2017-06-16,249,50,36.7678,117.413
178,2017-06-17,261,50,36.7678,117.413
178,2017-06-18,255,50,36.7678,117.413
178,2017-06-19,211,50,36.7678,117.413
178,2017-06-20,197,50,36.7678,117.413
178,2017-06-21,234,50,36.7678,117.413
178,2017-06-22,45,50,36.7678,117.413
178,2017-06-23,127,50,36.7678,117.413
