id,time,dayPower,capacity,lat,lng
59,2017-01-01,123,50,36.904,117.141
59,2017-01-02,97,50,36.904,117.141
59,2017-01-03,120,50,36.904,117.141
59,2017-01-04,19,50,36.904,117.141
59,2017-01-05,13,50,36.904,117.141
59,2017-01-06,36,50,36.904,117.141
59,2017-01-07,25,50,36.904,117.141
59,2017-01-08,57,50,36.904,117.141
59,2017-01-09,139,50,36.904,117.141
59,2017-01-10,199,50,36.904,117.141
59,2017-01-11,97,50,36.904,117.141
59,2017-01-12,128,50,36.904,117.141
59,2017-01-13,206,50,36.904,117.141
59,2017-01-14,223,50,36.904,117.141
59,2017-01-15,130,50,36.904,117.141
59,2017-01-16,111,50,36.904,117.141
59,2017-01-17,90,50,36.904,117.141
59,2017-01-18,84,50,36.904,117.141
59,2017-01-19,116,50,36.904,117.141
59,2017-01-20,243,50,36.904,117.141
59,2017-01-21,210,50,36.904,117.141
59,2017-01-22,224,50,36.904,117.141
59,2017-01-23,158,50,36.904,117.141
59,2017-01-24,125,50,36.904,117.141
59,2017-01-25,169,50,36.904,117.141
59,2017-01-26,106,50,36.904,117.141
59,2017-01-27,206,50,36.904,117.141
59,2017-01-28,7,50,36.904,117.141
59,2017-01-29,60,50,36.904,117.141
59,2017-01-30,251,50,36.904,117.141
59,2017-01-31,143,50,36.904,117.141
59,2017-02-01,251,50,36.904,117.141
59,2017-02-02,199,50,36.904,117.141
59,2017-02-03,132,50,36.904,117.141
59,2017-02-04,32,50,36.904,117.141
59,2017-02-05,187,50,36.904,117.141
59,2017-02-06,146,50,36.904,117.141
59,2017-02-07,58,50,36.904,117.141
59,2017-02-08,123,50,36.904,117.141
59,2017-02-09,290,50,36.904,117.141
59,2017-02-10,285,50,36.904,117.141
59,2017-02-11,243,50,36.904,117.141
59,2017-02-12,238,50,36.904,117.141
59,2017-02-13,198,50,36.904,117.141
59,2017-02-14,128,50,36.904,117.141
59,2017-02-15,215,50,36.904,117.141
59,2017-02-16,153,50,36.904,117.141
59,2017-02-17,199,50,36.904,117.141
59,2017-02-18,235,50,36.904,117.141
59,2017-02-19,118,50,36.904,117.141
59,2017-02-20,248,50,36.904,117.141
59,2017-02-21,35,50,36.904,117.141
59,2017-02-22,59,50,36.904,117.141
59,2017-02-23,302,50,36.904,117.141
59,2017-02-24,283,50,36.904,117.141
59,2017-02-25,278,50,36.904,117.141
59,2017-02-26,244,50,36.904,117.141
59,2017-02-27,245,50,36.904,117.141
59,2017-02-28,189,50,36.904,117.141
59,2017-03-01,119,50,36.904,117.141
59,2017-03-02,302,50,36.904,117.141
59,2017-03-03,266,50,36.904,117.141
59,2017-03-04,217,50,36.904,117.141
59,2017-03-05,237,50,36.904,117.141
59,2017-03-06,268,50,36.904,117.141
