id,time,dayPower,capacity
407,2017-07-07 22,330.0,75
407,2017-07-08 22,423.0,75
407,2017-07-09 22,272.0,75
407,2017-07-10 22,442.0,75
407,2017-07-11 22,152.0,75
407,2017-07-12 22,401.0,75
407,2017-07-13 22,378.0,75
407,2017-07-14 22,379.0,75
407,2017-07-15 22,224.0,75
407,2017-07-16 22,165.0,75
407,2017-07-17 22,256.0,75
407,2017-07-18 22,136.0,75
407,2017-07-19 22,242.0,75
407,2017-07-20 22,395.0,75
407,2017-07-21 22,266.0,75
407,2017-07-22 22,100.0,75
407,2017-07-23 22,211.0,75
407,2017-07-24 22,140.0,75
407,2017-07-25 22,347.0,75
407,2017-07-26 22,142.0,75
407,2017-07-27 22,99.0,75
407,2017-07-28 22,92.0,75
407,2017-07-29 22,85.0,75
407,2017-07-30 22,140.0,75
407,2017-07-31 22,219.0,75
407,2017-08-01 22,162.0,75
407,2017-08-02 22,191.0,75
407,2017-08-03 22,413.0,75
407,2017-08-04 22,378.0,75
407,2017-08-05 22,346.0,75
407,2017-08-06 22,376.0,75
407,2017-08-07 22,361.0,75
407,2017-08-08 22,405.0,75
407,2017-08-09 22,302.0,75
407,2017-08-10 22,405.0,75
407,2017-08-11 22,381.0,75
407,2017-08-12 22,178.0,75
407,2017-08-13 22,228.0,75
407,2017-08-14 22,230.0,75
407,2017-08-15 22,371.0,75
407,2017-08-16 22,358.0,75
407,2017-08-17 22,318.0,75
407,2017-08-18 22,95.0,75
407,2017-08-19 22,195.0,75
407,2017-08-20 22,298.0,75
407,2017-08-21 22,366.0,75
407,2017-08-22 22,221.0,75
407,2017-08-23 22,137.0,75
407,2017-08-24 22,363.0,75
407,2017-08-25 22,229.0,75
407,2017-08-26 22,114.0,75
407,2017-08-27 22,119.0,75
407,2017-08-28 22,70.0,75
407,2017-08-29 22,131.0,75
407,2017-08-30 22,428.0,75
407,2017-08-31 22,362.0,75
407,2017-09-01 22,304.0,75
407,2017-09-02 22,282.0,75
407,2017-09-03 22,262.0,75
407,2017-09-04 22,250.0,75
407,2017-09-05 22,235.0,75
407,2017-09-06 22,278.0,75
407,2017-09-07 22,202.0,75
407,2017-09-08 22,337.0,75
407,2017-09-09 22,334.0,75
407,2017-09-10 22,62.0,75
407,2017-09-11 22,377.0,75
407,2017-09-12 22,386.0,75
407,2017-09-13 22,363.0,75
407,2017-09-14 22,376.0,75
407,2017-09-15 22,252.0,75
407,2017-09-16 22,200.0,75
407,2017-09-17 22,274.0,75
407,2017-09-18 22,289.0,75
407,2017-09-19 22,330.0,75
407,2017-09-20 22,367.0,75
407,2017-09-21 22,342.0,75
407,2017-09-22 22,358.0,75
407,2017-09-23 22,330.0,75
407,2017-09-24 22,332.0,75
407,2017-09-25 22,255.0,75
407,2017-09-26 22,129.0,75
407,2017-09-27 22,187.0,75
407,2017-09-28 22,414.0,75
407,2017-09-29 22,274.0,75
407,2017-09-30 22,334.0,75
407,2017-10-01 22,177.0,75
407,2017-10-02 22,170.0,75
407,2017-10-03 22,105.0,75
407,2017-10-04 22,221.0,75
407,2017-10-05 22,316.0,75
407,2017-10-06 22,316.0,75
407,2017-10-07 22,44.0,75
407,2017-10-08 22,27.0,75
407,2017-10-09 22,11.0,75
407,2017-10-10 22,22.0,75
407,2017-10-11 22,292.0,75
407,2017-10-12 22,277.0,75
407,2017-10-13 22,244.0,75
407,2017-10-14 22,144.0,75
407,2017-10-15 22,154.0,75
407,2017-10-16 22,115.0,75
407,2017-10-17 22,115.0,75
407,2017-10-18 22,84.0,75
407,2017-10-19 22,201.0,75
407,2017-10-20 22,260.0,75
407,2017-10-21 22,267.0,75
407,2017-10-22 22,299.0,75
407,2017-10-23 22,355.0,75
407,2017-10-24 22,324.0,75
407,2017-10-25 22,92.0,75
407,2017-10-26 22,185.0,75
407,2017-10-27 22,228.0,75
407,2017-10-28 22,207.0,75
407,2017-10-29 22,342.0,75
407,2017-10-30 22,312.0,75
407,2017-10-31 22,224.0,75
407,2017-11-01 22,186.0,75
407,2017-11-02 22,168.0,75
407,2017-11-03 22,246.0,75
407,2017-11-04 22,276.0,75
407,2017-11-05 22,248.0,75
407,2017-11-06 22,220.0,75
407,2017-11-07 22,150.0,75
407,2017-11-08 22,239.0,75
407,2017-11-09 22,184.0,75
407,2017-11-10 22,291.0,75
407,2017-11-11 22,281.0,75
407,2017-11-12 22,224.0,75
407,2017-11-13 22,227.0,75
407,2017-11-14 22,273.0,75
407,2017-11-15 22,262.0,75
407,2017-11-16 22,110.0,75
407,2017-11-17 22,212.0,75
407,2017-11-18 22,292.0,75
407,2017-11-19 22,114.0,75
407,2017-11-20 22,226.0,75
407,2017-11-21 22,215.0,75
407,2017-11-22 22,259.0,75
407,2017-11-23 22,252.0,75
407,2017-11-24 22,92.0,75
407,2017-11-25 22,215.0,75
407,2017-11-26 22,248.0,75
407,2017-11-27 22,168.0,75
407,2017-11-28 22,178.0,75
407,2017-11-29 22,166.0,75
407,2017-11-30 22,61.0,75
407,2017-12-01 22,211.0,75
407,2017-12-02 22,157.0,75
407,2017-12-03 22,44.0,75
407,2017-12-04 22,220.0,75
407,2017-12-05 22,219.0,75
407,2017-12-06 22,203.0,75
407,2017-12-07 22,200.0,75
407,2017-12-08 22,225.0,75
407,2017-12-09 22,130.0,75
407,2017-12-10 22,210.0,75
407,2017-12-11 22,214.0,75
407,2017-12-12 22,191.0,75
407,2017-12-13 22,142.0,75
407,2017-12-14 22,60.0,75
407,2017-12-15 22,116.0,75
407,2017-12-16 22,228.0,75
407,2017-12-17 22,214.0,75
407,2017-12-18 22,201.0,75
407,2017-12-19 22,218.0,75
407,2017-12-20 22,201.0,75
407,2017-12-21 22,196.0,75
407,2017-12-22 22,178.0,75
407,2017-12-23 22,121.0,75
407,2017-12-24 22,190.0,75
407,2017-12-25 22,205.0,75
407,2017-12-26 22,181.0,75
407,2017-12-27 22,149.0,75
407,2017-12-28 22,137.0,75
407,2017-12-29 22,20.0,75
407,2017-12-30 22,111.0,75
407,2017-12-31 22,185.0,75
407,2018-01-01 22,148.0,75
407,2018-01-02 22,104.0,75
407,2018-01-03 22,172.0,75
407,2018-01-04 22,44.0,75
407,2018-01-05 22,193.0,75
407,2018-01-06 22,207.0,75
407,2018-01-07 22,41.0,75
407,2018-01-08 22,217.0,75
407,2018-01-09 22,234.0,75
407,2018-01-10 22,258.0,75
407,2018-01-11 22,280.0,75
407,2018-01-12 22,253.0,75
407,2018-01-13 22,248.0,75
407,2018-01-14 22,173.0,75
407,2018-01-15 22,86.0,75
407,2018-01-16 22,128.0,75
